Benchmark/1-4 	 3000000	       441 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       439 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       452 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       449 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       444 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       447 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       449 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       441 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       446 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       436 ns/op	     272 B/op	      11 allocs/op
Benchmark/10-4         	  500000	      3220 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3429 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3463 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3638 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  300000	      3522 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3335 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3260 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3356 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3382 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  500000	      3267 ns/op	    2176 B/op	      79 allocs/op
Benchmark/100-4        	   50000	     29214 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29666 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     30820 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     30170 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     28243 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29832 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     29245 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     28905 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     31179 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   50000	     27933 ns/op	   23008 B/op	     721 allocs/op
Benchmark/1000-4       	    5000	    258907 ns/op	  209824 B/op	    7033 allocs/op
